 FIPS , Name , Race ,Total,Employed,Unemployed,NILF
 27053c , Hennepin County (part) , Non-Hispanic white ,556564,464405,15164,76995
 27053c , Hennepin County (part) , Total ,780591,637409,23906,119276
 27123c , Ramsey County (part) , All other non-Hispanic ,7929,5415,,2411
 27123c , Ramsey County (part) , Latino ,22511,16825,,4963
 27123c , Ramsey County (part) , Non-Hispanic American Indian ,1454,,,
 27123c , Ramsey County (part) , Non-Hispanic Asian ,46492,28798,5504,12190
 27123c , Ramsey County (part) , Non-Hispanic black ,35068,24186,2365,8517
 27123c , Ramsey County (part) , Non-Hispanic white ,214735,176636,4836,33263
 27123c , Ramsey County (part) , Total ,328189,253059,13531,61599
 29095c , Jackson County (part) , All other non-Hispanic ,8838,6787,,1649
 29095c , Jackson County (part) , Latino ,34594,24905,,8571
 29095c , Jackson County (part) , Non-Hispanic American Indian ,2258,1661,,
 29095c , Jackson County (part) , Non-Hispanic Asian ,10051,7027,,2866
 29095c , Jackson County (part) , Non-Hispanic black ,95565,62201,5298,28066
 29095c , Jackson County (part) , Non-Hispanic white ,270141,209655,9024,51462
 29095c , Jackson County (part) , Total ,421447,312236,16078,93133
 29189c , St. Louis County (part) , All other non-Hispanic ,9019,6266,,2463
 29189c , St. Louis County (part) , Latino ,15645,11132,,3424
 29189c , St. Louis County (part) , Non-Hispanic American Indian ,,,,
 29189c , St. Louis County (part) , Non-Hispanic Asian ,28276,20581,,6558
 29189c , St. Louis County (part) , Non-Hispanic black ,145661,110126,9626,25909
 29189c , St. Louis County (part) , Non-Hispanic white ,402748,321316,11730,69702
 29189c , St. Louis County (part) , Total ,602279,470219,23933,108127
 31055c , Douglas County (part) , All other non-Hispanic ,3973,3415,,
 31055c , Douglas County (part) , Latino ,35351,25850,,8063
 31055c , Douglas County (part) , Non-Hispanic American Indian ,2181,,,
 31055c , Douglas County (part) , Non-Hispanic Asian ,13439,9012,,3724
 31055c , Douglas County (part) , Non-Hispanic black ,35312,25147,,8438
 31055c , Douglas County (part) , Non-Hispanic white ,241621,199126,5206,37289
 31055c , Douglas County (part) , Total ,331877,264085,9074,58718
 32003a ," Las Vegas city, Nevada ", All other non-Hispanic ,12839,7327,1253,4259
 32003a ," Las Vegas city, Nevada ", Latino ,131995,93785,7499,30711
 32003a ," Las Vegas city, Nevada ", Non-Hispanic American Indian ,1245,936,,
 32003a ," Las Vegas city, Nevada ", Non-Hispanic Asian ,34986,24574,1579,8833
 32003a ," Las Vegas city, Nevada ", Non-Hispanic black ,46388,28124,3993,14271
 32003a ," Las Vegas city, Nevada ", Non-Hispanic white ,192290,137603,12198,42489
 32003a ," Las Vegas city, Nevada ", Total ,419743,292349,26522,100872
 32003b , Remainder - Clark County (part) , All other non-Hispanic ,27805,20518,2028,5259
 32003b , Remainder - Clark County (part) , Latino ,262081,187865,20654,53562
 32003b , Remainder - Clark County (part) , Non-Hispanic American Indian ,4979,4039,,
 32003b , Remainder - Clark County (part) , Non-Hispanic Asian ,109900,77412,5247,27241
 32003b , Remainder - Clark County (part) , Non-Hispanic black ,91128,61459,7256,22413
 32003b , Remainder - Clark County (part) , Non-Hispanic white ,386044,276639,22774,86631
 32003b , Remainder - Clark County (part) , Total ,881937,627932,57959,196046
 34003c , Bergen County (part) , All other non-Hispanic ,6796,4513,,1860
 34003c , Bergen County (part) , Latino ,115925,86128,4157,25640
 34003c , Bergen County (part) , Non-Hispanic American Indian ,,,,
 34003c , Bergen County (part) , Non-Hispanic Asian ,103787,76763,2860,24164
 34003c , Bergen County (part) , Non-Hispanic black ,31444,25388,1232,4824
 34003c , Bergen County (part) , Non-Hispanic white ,319805,242996,11090,65719
 34003c , Bergen County (part) , Total ,578365,436159,19762,122444
 34007c , Camden County (part) , All other non-Hispanic ,4999,3813,,
 34007c , Camden County (part) , Latino ,48345,30236,4075,14034
 34007c , Camden County (part) , Non-Hispanic American Indian ,,,,
 34007c , Camden County (part) , Non-Hispanic Asian ,18857,14446,1221,3190
 34007c , Camden County (part) , Non-Hispanic black ,57531,39613,4640,13278
 34007c , Camden County (part) , Non-Hispanic white ,182986,142510,8609,31867
 34007c , Camden County (part) , Total ,312777,230677,18764,63336
 34013c , Essex County (part) , All other non-Hispanic ,11230,7752,,2573
 34013c , Essex County (part) , Latino ,111364,79988,7594,23782
 34013c , Essex County (part) , Non-Hispanic American Indian ,,,,
 34013c , Essex County (part) , Non-Hispanic Asian ,26569,20118,2062,4389
 34013c , Essex County (part) , Non-Hispanic black ,190461,124482,24206,41773
 34013c , Essex County (part) , Non-Hispanic white ,148844,112479,5579,30786
 34013c , Essex County (part) , Total ,488845,345196,40346,103303
 34017c , Hudson County (part) , All other non-Hispanic ,8916,6712,,1924
 34017c , Hudson County (part) , Latino ,190133,139225,13380,37528
 34017c , Hudson County (part) , Non-Hispanic American Indian ,,,,
 34017c , Hudson County (part) , Non-Hispanic Asian ,76324,55282,3044,17998
 34017c , Hudson County (part) , Non-Hispanic black ,47767,34671,3336,9760
 34017c , Hudson County (part) , Non-Hispanic white ,136354,106799,5488,24067
 34017c , Hudson County (part) , Total ,459995,342772,25528,91695
 34023c , Middlesex County (part) , All other non-Hispanic ,8487,6632,,1230
 34023c , Middlesex County (part) , Latino ,106896,79775,2856,24265
 34023c , Middlesex County (part) , Non-Hispanic American Indian ,,,,
 34023c , Middlesex County (part) , Non-Hispanic Asian ,126997,89304,3581,34112
 34023c , Middlesex County (part) , Non-Hispanic black ,47275,34859,4763,7653
 34023c , Middlesex County (part) , Non-Hispanic white ,224736,167743,10022,46971
 34023c , Middlesex County (part) , Total ,515010,378932,21847,114231
 34025c , Monmouth County (part) , All other non-Hispanic ,7264,5140,,2023
 34025c , Monmouth County (part) , Latino ,39795,30734,1868,7193
 34025c , Monmouth County (part) , Non-Hispanic American Indian ,,,,
 34025c , Monmouth County (part) , Non-Hispanic Asian ,21182,15201,,5027
 34025c , Monmouth County (part) , Non-Hispanic black ,26391,18275,2235,5881
 34025c , Monmouth County (part) , Non-Hispanic white ,290925,218938,11663,60324
 34025c , Monmouth County (part) , Total ,385721,288452,16821,80448
 34029c , Ocean County (part) , All other non-Hispanic ,4108,3808,,
 34029c , Ocean County (part) , Latino ,30900,25156,1246,4498
 34029c , Ocean County (part) , Non-Hispanic Asian ,8668,8067,,
 34029c , Ocean County (part) , Non-Hispanic black ,9140,6627,,
 34029c , Ocean County (part) , Non-Hispanic white ,264675,193435,11417,59823
 34029c , Ocean County (part) , Total ,317491,237093,13792,66606
 34031c , Passaic County (part) , All other non-Hispanic ,3106,2236,,
 34031c , Passaic County (part) , Latino ,126657,85527,3023,38107
