FIPS, Name , Race ,Total,Employed,Unemployed,NILF
13135c," Gwinnett County, GA ", Non-Hispanic white ,224860,169176,8261,47423
13135c," Gwinnett County, GA ", Total ,566478,419888,25769,120821
15003c," Honolulu County, HI ", All other non-Hispanic ,111154,84689,4228,22237
15003c," Honolulu County, HI ", Latino ,49430,36465,2030,10935
15003c," Honolulu County, HI ", Non-Hispanic American Indian ,,,,
15003c," Honolulu County, HI ", Non-Hispanic Asian ,282390,221221,8883,52286
15003c," Honolulu County, HI ", Non-Hispanic black ,12688,9476,,2265
15003c," Honolulu County, HI ", Non-Hispanic white ,105049,79032,3254,22763
15003c," Honolulu County, HI ", Total ,560849,430883,19342,110624
17031a," Chicago, IL ", All other non-Hispanic ,26459,19951,1400,5108
17031a," Chicago, IL ", Latino ,486731,335479,31063,120189
17031a," Chicago, IL ", Non-Hispanic American Indian ,3101,1964,,
17031a," Chicago, IL ", Non-Hispanic Asian ,119459,84774,7221,27464
17031a," Chicago, IL ", Non-Hispanic black ,502537,280962,64020,157555
17031a," Chicago, IL ", Non-Hispanic white ,593894,494987,20502,78405
17031a," Chicago, IL ", Total ,1732181,1218117,124255,389809
17031b," Cook County (excluding Chicago), IL ", All other non-Hispanic ,23552,16574,,5435
17031b," Cook County (excluding Chicago), IL ", Latino ,331388,241077,15425,74886
17031b," Cook County (excluding Chicago), IL ", Non-Hispanic American Indian ,,,,
17031b," Cook County (excluding Chicago), IL ", Non-Hispanic Asian ,133186,95538,4587,33061
17031b," Cook County (excluding Chicago), IL ", Non-Hispanic black ,243206,154424,29095,59687
17031b," Cook County (excluding Chicago), IL ", Non-Hispanic white ,837945,638891,33194,165860
17031b," Cook County (excluding Chicago), IL ", Total ,1569994,1147100,83844,339050
17043c," DuPage County, IL ", All other non-Hispanic ,8928,6957,,1443
17043c," DuPage County, IL ", Latino ,79382,64768,2663,11951
17043c," DuPage County, IL ", Non-Hispanic American Indian ,,,,
17043c," DuPage County, IL ", Non-Hispanic Asian ,68108,49369,3415,15324
17043c," DuPage County, IL ", Non-Hispanic black ,29425,23311,2477,3637
17043c," DuPage County, IL ", Non-Hispanic white ,393528,306584,15105,71839
17043c," DuPage County, IL ", Total ,579731,451349,24188,104194
17089c," Kane County, IL ", All other non-Hispanic ,3233,2073,,
17089c," Kane County, IL ", Latino ,98928,74598,5601,18729
17089c," Kane County, IL ", Non-Hispanic American Indian ,,,,
17089c," Kane County, IL ", Non-Hispanic Asian ,12439,9689,,2076
17089c," Kane County, IL ", Non-Hispanic black ,16922,10036,1750,5136
17089c," Kane County, IL ", Non-Hispanic white ,188449,150973,7327,30149
17089c," Kane County, IL ", Total ,320003,247401,15651,56951
17097c," Lake County, IL ", All other non-Hispanic ,5981,4608,,840
17097c," Lake County, IL ", Latino ,87783,66496,4205,17082
